Time [s],WAKE,TX,RX,FAULT
2021-04-24T07:47:35.073521854+00:00,1,1,1,1
2021-04-24T07:47:35.073521864+00:00,1,1,0,1
2021-04-24T07:47:35.073521876+00:00,1,1,1,1
2021-04-24T07:47:35.073525844+00:00,1,1,0,1
2021-04-24T07:47:35.073525862+00:00,1,1,1,1
2021-04-24T07:47:35.073525866+00:00,1,1,0,1
2021-04-24T07:47:35.073529836+00:00,1,1,1,1
2021-04-24T07:47:35.073529852+00:00,1,1,0,1
2021-04-24T07:47:35.073529858+00:00,1,1,1,1
2021-04-24T07:47:35.073533828+00:00,1,1,0,1
2021-04-24T07:47:35.073533844+00:00,1,1,1,1
2021-04-24T07:47:35.073533850+00:00,1,1,0,1
2021-04-24T07:47:35.073545802+00:00,1,1,1,1
2021-04-24T07:47:35.073545816+00:00,1,1,0,1
2021-04-24T07:47:35.073545824+00:00,1,1,1,1
2021-04-24T07:47:35.073553792+00:00,1,1,0,1
2021-04-24T07:47:35.073553806+00:00,1,1,1,1
2021-04-24T07:47:35.073553816+00:00,1,1,0,1
2021-04-24T07:47:35.073561786+00:00,1,1,1,1
2021-04-24T07:47:35.073561802+00:00,1,1,0,1
2021-04-24T07:47:35.073561808+00:00,1,1,1,1
2021-04-24T07:47:35.073565782+00:00,1,1,0,1
2021-04-24T07:47:35.073565798+00:00,1,1,1,1
2021-04-24T07:47:35.073565804+00:00,1,1,0,1
2021-04-24T07:47:35.073577772+00:00,1,1,1,1
2021-04-24T07:47:35.073577786+00:00,1,1,0,1
2021-04-24T07:47:35.073577794+00:00,1,1,1,1
2021-04-24T07:47:35.086748848+00:00,1,1,0,1
2021-04-24T07:47:35.086748858+00:00,1,1,1,1
2021-04-24T07:47:35.086748872+00:00,1,1,0,1
2021-04-24T07:47:35.086752844+00:00,1,1,1,1
2021-04-24T07:47:35.086756846+00:00,1,1,0,1
2021-04-24T07:47:35.086756860+00:00,1,1,1,1
2021-04-24T07:47:35.086756870+00:00,1,1,0,1
2021-04-24T07:47:35.086764846+00:00,1,1,1,1
2021-04-24T07:47:35.086768846+00:00,1,1,0,1
2021-04-24T07:47:35.086768862+00:00,1,1,1,1
2021-04-24T07:47:35.086768870+00:00,1,1,0,1
2021-04-24T07:47:35.086780846+00:00,1,1,1,1
2021-04-24T07:47:35.086780860+00:00,1,1,0,1
2021-04-24T07:47:35.086780868+00:00,1,1,1,1
2021-04-24T07:47:35.086788846+00:00,1,1,0,1
2021-04-24T07:47:35.086788860+00:00,1,1,1,1
2021-04-24T07:47:35.086788870+00:00,1,1,0,1
2021-04-24T07:47:35.086824848+00:00,1,1,1,1
2021-04-24T07:47:35.086824860+00:00,1,1,0,1
2021-04-24T07:47:35.086824870+00:00,1,1,1,1
2021-04-24T07:47:35.086828846+00:00,1,1,0,1
2021-04-24T07:47:35.086828864+00:00,1,1,1,1
2021-04-24T07:47:35.086828868+00:00,1,1,0,1
2021-04-24T07:47:35.086864852+00:00,1,1,1,1
2021-04-24T07:47:35.086864862+00:00,1,1,0,1
2021-04-24T07:47:35.086864874+00:00,1,1,1,1
2021-04-24T07:47:35.086868850+00:00,1,1,0,1
2021-04-24T07:47:35.086868868+00:00,1,1,1,1
2021-04-24T07:47:35.086868872+00:00,1,1,0,1
2021-04-24T07:47:35.086872850+00:00,1,1,1,1
2021-04-24T07:47:35.086872866+00:00,1,1,0,1
2021-04-24T07:47:35.086872874+00:00,1,1,1,1
2021-04-24T07:47:35.086880852+00:00,1,1,0,1
2021-04-24T07:47:35.086880866+00:00,1,1,1,1
2021-04-24T07:47:35.086880876+00:00,1,1,0,1
2021-04-24T07:47:35.086904856+00:00,1,1,1,1
2021-04-24T07:47:35.086904868+00:00,1,1,0,1
2021-04-24T07:47:35.086904878+00:00,1,1,1,1
2021-04-24T07:47:35.086908854+00:00,1,1,0,1
2021-04-24T07:47:35.086908872+00:00,1,1,1,1
2021-04-24T07:47:35.086908876+00:00,1,1,0,1
2021-04-24T07:47:35.086912854+00:00,1,1,1,1
2021-04-24T07:47:35.086912872+00:00,1,1,0,1
2021-04-24T07:47:35.086912878+00:00,1,1,1,1
2021-04-24T07:47:35.086920856+00:00,1,1,0,1
2021-04-24T07:47:35.086920870+00:00,1,1,1,1
2021-04-24T07:47:35.086920880+00:00,1,1,0,1
2021-04-24T07:47:35.086944858+00:00,1,1,1,1
2021-04-24T07:47:35.086944870+00:00,1,1,0,1
2021-04-24T07:47:35.086944880+00:00,1,1,1,1
2021-04-24T07:47:35.086948858+00:00,1,1,0,1
2021-04-24T07:47:35.086948874+00:00,1,1,1,1
2021-04-24T07:47:35.086948880+00:00,1,1,0,1
2021-04-24T07:47:35.086952858+00:00,1,1,1,1
2021-04-24T07:47:35.086952874+00:00,1,1,0,1
2021-04-24T07:47:35.086952880+00:00,1,1,1,1
2021-04-24T07:47:35.086956858+00:00,1,1,0,1
2021-04-24T07:47:35.086956874+00:00,1,1,1,1
2021-04-24T07:47:35.086956880+00:00,1,1,0,1
2021-04-24T07:47:35.086960858+00:00,1,1,1,1
2021-04-24T07:47:35.086972860+00:00,1,1,0,1
2021-04-24T07:47:35.086972874+00:00,1,1,1,1
2021-04-24T07:47:35.086972884+00:00,1,1,0,1
2021-04-24T07:47:35.086980860+00:00,1,1,1,1
2021-04-24T07:47:35.086988862+00:00,1,1,0,1
2021-04-24T07:47:35.086988874+00:00,1,1,1,1
2021-04-24T07:47:35.086988884+00:00,1,1,0,1
2021-04-24T07:47:35.086996860+00:00,1,1,1,1
2021-04-24T07:47:35.086996878+00:00,1,1,0,1
2021-04-24T07:47:35.086996880+00:00,1,1,1,1
2021-04-24T07:47:35.087008862+00:00,1,1,0,1
2021-04-24T07:47:35.087008876+00:00,1,1,1,1
2021-04-24T07:47:35.087008886+00:00,1,1,0,1
2021-04-24T07:47:35.087012860+00:00,1,1,1,1
2021-04-24T07:47:35.087016862+00:00,1,1,0,1
2021-04-24T07:47:35.087016876+00:00,1,1,1,1
2021-04-24T07:47:35.087016886+00:00,1,1,0,1
2021-04-24T07:47:35.087024862+00:00,1,1,1,1
2021-04-24T07:47:35.087032652+00:00,1,0,1,1
2021-04-24T07:47:35.087036626+00:00,1,1,1,1
2021-04-24T07:47:35.087036630+00:00,1,0,1,1
2021-04-24T07:47:35.087036646+00:00,1,1,1,1
2021-04-24T07:47:35.087044642+00:00,1,0,1,1
2021-04-24T07:47:35.087068622+00:00,1,1,1,1
2021-04-24T07:47:35.087074368+00:00,1,0,1,1
2021-04-24T07:47:35.087078340+00:00,1,1,1,1
2021-04-24T07:47:35.087078344+00:00,1,0,1,1
2021-04-24T07:47:35.087078360+00:00,1,1,1,1
2021-04-24T07:47:35.087116328+00:00,1,0,1,1
2021-04-24T07:47:35.087120302+00:00,1,1,1,1
2021-04-24T07:47:35.087120306+00:00,1,0,1,1
2021-04-24T07:47:35.087120322+00:00,1,1,1,1
2021-04-24T07:47:35.087158042+00:00,1,0,1,1
2021-04-24T07:47:35.087194008+00:00,1,1,1,1
2021-04-24T07:47:35.087200004+00:00,1,0,1,1
2021-04-24T07:47:35.087227978+00:00,1,1,1,1
2021-04-24T07:47:35.087241718+00:00,1,0,1,1
2021-04-24T07:47:35.087253684+00:00,1,1,1,1
2021-04-24T07:47:35.087253686+00:00,1,0,1,1
